,Year,Total
0,2004,0
1,2005,0
2,2006,0
3,2006,7
4,2007,0
5,2008,0
6,2009,0
7,2009,3
8,2010,0
9,2011,0
10,2011,1
11,2012,0
12,2012,1
13,2013,0
14,2013,1
15,2014,0
16,2014,1
17,2014,2
18,2015,0
19,2015,1
20,2016,0
21,2016,1
22,2016,2
23,2017,0
24,2017,1
25,2017,2
26,2018,0
27,2018,1
28,2018,2
29,2019,0
30,2019,1
31,2019,8
32,2019,9
33,2019,92
34,2019,100
35,2020,2
36,2020,3
37,2020,4
38,2020,5
39,2020,6
40,2020,7
41,2020,10
42,2021,1
43,2021,2
44,2021,3
